Question Number,Question (Thai),Enneagram Type,Question Category
1,ฉันรู้สึกว่าต้องยึดมั่นในบางสิ่งที่สำคัญ,Type 8: The Challenger,Core
2,ฉันรู้สึกว่าชีวิตควรมีความหมายหรือเป้าหมายเฉพาะ,Type 8: The Challenger,Core
3,ฉันมักจะมีแรงผลักดันที่คนอื่นอาจมองไม่เห็น,Type 8: The Challenger,Core
4,ฉันพยายามซ่อนความกลัวหรือความไม่มั่นใจของตัวเอง,Type 8: The Challenger,Shadow
5,ฉันมีความรู้สึกบางอย่างที่ไม่กล้าเปิดเผย,Type 8: The Challenger,Shadow
6,ฉันรู้สึกว่าตัวเองมีจุดเปราะบางที่ไม่ควรให้ใครรู้,Type 8: The Challenger,Shadow
7,ฉันตอบสนองต่อปัญหาแบบอัตโนมัติเสมอ,Type 8: The Challenger,Behavior
8,ฉันมีวิธีการเฉพาะในการรับมือกับความเครียด,Type 8: The Challenger,Behavior
9,ฉันมีรูปแบบพฤติกรรมที่เกิดซ้ำแม้จะพยายามเปลี่ยน,Type 8: The Challenger,Behavior
10,ฉันรู้สึกว่าต้องยึดมั่นในบางสิ่งที่สำคัญ,Type 6: The Loyalist,Core
11,ฉันรู้สึกว่าชีวิตควรมีความหมายหรือเป้าหมายเฉพาะ,Type 6: The Loyalist,Core
12,ฉันมักจะมีแรงผลักดันที่คนอื่นอาจมองไม่เห็น,Type 6: The Loyalist,Core
13,ฉันพยายามซ่อนความกลัวหรือความไม่มั่นใจของตัวเอง,Type 6: The Loyalist,Shadow
14,ฉันมีความรู้สึกบางอย่างที่ไม่กล้าเปิดเผย,Type 6: The Loyalist,Shadow
15,ฉันรู้สึกว่าตัวเองมีจุดเปราะบางที่ไม่ควรให้ใครรู้,Type 6: The Loyalist,Shadow
16,ฉันตอบสนองต่อปัญหาแบบอัตโนมัติเสมอ,Type 6: The Loyalist,Behavior
17,ฉันมีวิธีการเฉพาะในการรับมือกับความเครียด,Type 6: The Loyalist,Behavior
18,ฉันมีรูปแบบพฤติกรรมที่เกิดซ้ำแม้จะพยายามเปลี่ยน,Type 6: The Loyalist,Behavior
19,ฉันรู้สึกว่าต้องยึดมั่นในบางสิ่งที่สำคัญ,Type 2: The Helper,Core
20,ฉันรู้สึกว่าชีวิตควรมีความหมายหรือเป้าหมายเฉพาะ,Type 2: The Helper,Core
21,ฉันมักจะมีแรงผลักดันที่คนอื่นอาจมองไม่เห็น,Type 2: The Helper,Core
22,ฉันพยายามซ่อนความกลัวหรือความไม่มั่นใจของตัวเอง,Type 2: The Helper,Shadow
23,ฉันมีความรู้สึกบางอย่างที่ไม่กล้าเปิดเผย,Type 2: The Helper,Shadow
24,ฉันรู้สึกว่าตัวเองมีจุดเปราะบางที่ไม่ควรให้ใครรู้,Type 2: The Helper,Shadow
25,ฉันตอบสนองต่อปัญหาแบบอัตโนมัติเสมอ,Type 2: The Helper,Behavior
26,ฉันมีวิธีการเฉพาะในการรับมือกับความเครียด,Type 2: The Helper,Behavior
27,ฉันมีรูปแบบพฤติกรรมที่เกิดซ้ำแม้จะพยายามเปลี่ยน,Type 2: The Helper,Behavior
28,ฉันรู้สึกว่าต้องยึดมั่นในบางสิ่งที่สำคัญ,Type 4: The Individualist,Core
29,ฉันรู้สึกว่าชีวิตควรมีความหมายหรือเป้าหมายเฉพาะ,Type 4: The Individualist,Core
30,ฉันมักจะมีแรงผลักดันที่คนอื่นอาจมองไม่เห็น,Type 4: The Individualist,Core
31,ฉันพยายามซ่อนความกลัวหรือความไม่มั่นใจของตัวเอง,Type 4: The Individualist,Shadow
32,ฉันมีความรู้สึกบางอย่างที่ไม่กล้าเปิดเผย,Type 4: The Individualist,Shadow
33,ฉันรู้สึกว่าตัวเองมีจุดเปราะบางที่ไม่ควรให้ใครรู้,Type 4: The Individualist,Shadow
34,ฉันตอบสนองต่อปัญหาแบบอัตโนมัติเสมอ,Type 4: The Individualist,Behavior
35,ฉันมีวิธีการเฉพาะในการรับมือกับความเครียด,Type 4: The Individualist,Behavior
36,ฉันมีรูปแบบพฤติกรรมที่เกิดซ้ำแม้จะพยายามเปลี่ยน,Type 4: The Individualist,Behavior
37,ฉันรู้สึกว่าต้องยึดมั่นในบางสิ่งที่สำคัญ,Type 3: The Achiever,Core
38,ฉันรู้สึกว่าชีวิตควรมีความหมายหรือเป้าหมายเฉพาะ,Type 3: The Achiever,Core
39,ฉันมักจะมีแรงผลักดันที่คนอื่นอาจมองไม่เห็น,Type 3: The Achiever,Core
40,ฉันพยายามซ่อนความกลัวหรือความไม่มั่นใจของตัวเอง,Type 3: The Achiever,Shadow
41,ฉันมีความรู้สึกบางอย่างที่ไม่กล้าเปิดเผย,Type 3: The Achiever,Shadow
42,ฉันรู้สึกว่าตัวเองมีจุดเปราะบางที่ไม่ควรให้ใครรู้,Type 3: The Achiever,Shadow
43,ฉันตอบสนองต่อปัญหาแบบอัตโนมัติเสมอ,Type 3: The Achiever,Behavior
44,ฉันมีวิธีการเฉพาะในการรับมือกับความเครียด,Type 3: The Achiever,Behavior
45,ฉันมีรูปแบบพฤติกรรมที่เกิดซ้ำแม้จะพยายามเปลี่ยน,Type 3: The Achiever,Behavior
46,ฉันรู้สึกว่าต้องยึดมั่นในบางสิ่งที่สำคัญ,Type 1: The Reformer,Core
47,ฉันรู้สึกว่าชีวิตควรมีความหมายหรือเป้าหมายเฉพาะ,Type 1: The Reformer,Core
48,ฉันมักจะมีแรงผลักดันที่คนอื่นอาจมองไม่เห็น,Type 1: The Reformer,Core
49,ฉันพยายามซ่อนความกลัวหรือความไม่มั่นใจของตัวเอง,Type 1: The Reformer,Shadow
50,ฉันมีความรู้สึกบางอย่างที่ไม่กล้าเปิดเผย,Type 1: The Reformer,Shadow
51,ฉันรู้สึกว่าตัวเองมีจุดเปราะบางที่ไม่ควรให้ใครรู้,Type 1: The Reformer,Shadow
52,ฉันตอบสนองต่อปัญหาแบบอัตโนมัติเสมอ,Type 1: The Reformer,Behavior
53,ฉันมีวิธีการเฉพาะในการรับมือกับความเครียด,Type 1: The Reformer,Behavior
54,ฉันมีรูปแบบพฤติกรรมที่เกิดซ้ำแม้จะพยายามเปลี่ยน,Type 1: The Reformer,Behavior
55,ฉันรู้สึกว่าต้องยึดมั่นในบางสิ่งที่สำคัญ,Type 5: The Investigator,Core
56,ฉันรู้สึกว่าชีวิตควรมีความหมายหรือเป้าหมายเฉพาะ,Type 5: The Investigator,Core
57,ฉันมักจะมีแรงผลักดันที่คนอื่นอาจมองไม่เห็น,Type 5: The Investigator,Core
58,ฉันพยายามซ่อนความกลัวหรือความไม่มั่นใจของตัวเอง,Type 5: The Investigator,Shadow
59,ฉันมีความรู้สึกบางอย่างที่ไม่กล้าเปิดเผย,Type 5: The Investigator,Shadow
60,ฉันรู้สึกว่าตัวเองมีจุดเปราะบางที่ไม่ควรให้ใครรู้,Type 5: The Investigator,Shadow
61,ฉันตอบสนองต่อปัญหาแบบอัตโนมัติเสมอ,Type 5: The Investigator,Behavior
62,ฉันมีวิธีการเฉพาะในการรับมือกับความเครียด,Type 5: The Investigator,Behavior
63,ฉันมีรูปแบบพฤติกรรมที่เกิดซ้ำแม้จะพยายามเปลี่ยน,Type 5: The Investigator,Behavior
64,ฉันรู้สึกว่าต้องยึดมั่นในบางสิ่งที่สำคัญ,Type 9: The Peacemaker,Core
65,ฉันรู้สึกว่าชีวิตควรมีความหมายหรือเป้าหมายเฉพาะ,Type 9: The Peacemaker,Core
66,ฉันมักจะมีแรงผลักดันที่คนอื่นอาจมองไม่เห็น,Type 9: The Peacemaker,Core
67,ฉันพยายามซ่อนความกลัวหรือความไม่มั่นใจของตัวเอง,Type 9: The Peacemaker,Shadow
68,ฉันมีความรู้สึกบางอย่างที่ไม่กล้าเปิดเผย,Type 9: The Peacemaker,Shadow
